,Education,Key
0,Ambedkar University Delhi,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjIzNTY3MzA0Mzc2MTkyXCJ9In0%3D
1,Jamia Hamdard,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA0MDA4MTg5NjM1OTY4XCJ9In0%3D
2,Apeejay Institute of Design,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTY0ODM2ODk4MjEwNjA3NVwifSJ9
3,DU,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzY4NjU5Mzc2NTQxODkxXCJ9In0%3D
4,Jamia Millia Islamia,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA5NjA2NTMyMzc3MjMwNlwifSJ9
5,National University of Educational Planning and Administration,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMzAwOTg1MDUzNDMwNTgxXCJ9In0%3D
6,Indira Gandhi National Open University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA1NTg0OTY2MTQwODY3XCJ9In0%3D
7,"Jamia Millia Islamia, New Delhi",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA5NjA2NTMyMzc3MjMwNlwifSJ9
8,Hindu College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjQ1MDk3NDE1NTYzMDQyXCJ9In0%3D
9,TERI University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTE0NjM5MDkxOTY2NzcyXCJ9In0%3D
10,Kirori Mal College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTEyNzA3NDc4NzQwODAxXCJ9In0%3D
11,"Institute of Hotel Management,Pusa, New Delhi-110012",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTQ3MzE3ODQ4NjExMDEyMlwifSJ9
12,Mount Carmel Business School,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA4NTU5NTQ5MTY0NzEwXCJ9In0%3D
13,Ram Lal Anand College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNjczOTU4OTI5MzYzMDM4XCJ9In0%3D
14,"IARI, PUSA, New Delhi",eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMjQyNjUwNDc5MTQ5MDI4XCJ9In0%3D
15,Shri Lal Bahadur Shastri National Sanskrit University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiNTQwMTQ4Nzk5NDQxNjk3XCJ9In0%3D
16,Indian Institute of Planning and Management (IIPM),eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTQ3NDU5NjY4NjIzMDYzXCJ9In0%3D
17,South Asian University,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTAxMjA5MjY5ODgzOTE0OFwifSJ9
18,St. John's Medical College,eyJzY2hvb2w6MCI6IntcIm5hbWVcIjpcInVzZXJzX3NjaG9vbFwiLFwiYXJnc1wiOlwiMTA2MDg3NzUyNzU1MzExXCJ9In0%3D
